entity,name,subcategory,type,first build,second build
Module,:build-logic:convention,all tasks,CacheSize,168857,168960
Module,:build-logic:convention,all tasks,Duration,18272,17474
Module,:build-logic:convention,all tasks,Counter,7,7
Module,:build-logic:convention,all tasks,Fingerprinting,1605,1538
Module,:build-logic:convention,all tasks,DurationMean,2610,2496
Module,:build-logic:convention,all tasks,DurationMedian,23.0,27.0
Module,:build-logic:convention,all tasks,DurationP90,18117.0,17295.0
Module,:build-logic:convention,all tasks,FingerprintingMean,229,219
Module,:build-logic:convention,all tasks,FingerprintingMedian,6.0,6.0
Module,:build-logic:convention,all tasks,FingerprintingP90,1584.0,1516.0
Module,:core:model,all tasks,CacheSize,31641,31641
Module,:core:model,all tasks,Duration,21093,13671
Module,:core:model,all tasks,Counter,6,6
Module,:core:model,all tasks,Fingerprinting,6880,2467
Module,:core:model,all tasks,DurationMean,3515,2278
Module,:core:model,all tasks,DurationMedian,4.0,2.0
Module,:core:model,all tasks,DurationP90,21067.0,13643.0
Module,:core:model,all tasks,FingerprintingMean,1146,411
Module,:core:model,all tasks,FingerprintingMedian,0.0,0.0
Module,:core:model,all tasks,FingerprintingP90,6878.0,2464.0
Module,:app,all tasks,CacheSize,2564270,2564062
Module,:app,all tasks,Duration,50659,45333
Module,:app,all tasks,Counter,45,45
Module,:app,all tasks,Fingerprinting,4860,5020
Module,:app,all tasks,DurationMean,1125,1007
Module,:app,all tasks,DurationMedian,47.0,48.0
Module,:app,all tasks,DurationP90,4852.0,4518.0
Module,:app,all tasks,FingerprintingMean,108,111
Module,:app,all tasks,FingerprintingMedian,1.0,1.0
Module,:app,all tasks,FingerprintingP90,482.0,239.0
Module,:ui-test-hilt-manifest,all tasks,CacheSize,75743,75633
Module,:ui-test-hilt-manifest,all tasks,Duration,29836,17684
Module,:ui-test-hilt-manifest,all tasks,Counter,32,32
Module,:ui-test-hilt-manifest,all tasks,Fingerprinting,4136,1744
Module,:ui-test-hilt-manifest,all tasks,DurationMean,932,552
Module,:ui-test-hilt-manifest,all tasks,DurationMedian,44.0,37.0
Module,:ui-test-hilt-manifest,all tasks,DurationP90,3488.0,2098.0
Module,:ui-test-hilt-manifest,all tasks,FingerprintingMean,129,54
Module,:ui-test-hilt-manifest,all tasks,FingerprintingMedian,1.0,1.0
Module,:ui-test-hilt-manifest,all tasks,FingerprintingP90,695.0,36.0
Module,:core:analytics,all tasks,CacheSize,441811,441810
Module,:core:analytics,all tasks,Duration,34000,23304
Module,:core:analytics,all tasks,Counter,42,42
Module,:core:analytics,all tasks,Fingerprinting,4822,3198
Module,:core:analytics,all tasks,DurationMean,809,554
Module,:core:analytics,all tasks,DurationMedian,16.0,14.0
Module,:core:analytics,all tasks,DurationP90,2716.0,2011.0
Module,:core:analytics,all tasks,FingerprintingMean,114,76
Module,:core:analytics,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:analytics,all tasks,FingerprintingP90,672.0,325.0
Module,:core:common,all tasks,CacheSize,144987,144986
Module,:core:common,all tasks,Duration,28986,18671
Module,:core:common,all tasks,Counter,32,32
Module,:core:common,all tasks,Fingerprinting,2776,1359
Module,:core:common,all tasks,DurationMean,905,583
Module,:core:common,all tasks,DurationMedian,26.0,18.0
Module,:core:common,all tasks,DurationP90,3693.0,3463.0
Module,:core:common,all tasks,FingerprintingMean,86,42
Module,:core:common,all tasks,FingerprintingMedian,2.0,1.0
Module,:core:common,all tasks,FingerprintingP90,283.0,59.0
Module,:core:data,all tasks,CacheSize,1584256,1584255
Module,:core:data,all tasks,Duration,38263,26390
Module,:core:data,all tasks,Counter,42,42
Module,:core:data,all tasks,Fingerprinting,3693,2790
Module,:core:data,all tasks,DurationMean,911,628
Module,:core:data,all tasks,DurationMedian,18.0,20.0
Module,:core:data,all tasks,DurationP90,3749.0,3017.0
Module,:core:data,all tasks,FingerprintingMean,87,66
Module,:core:data,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:data,all tasks,FingerprintingP90,46.0,39.0
Module,:core:database,all tasks,CacheSize,286680,286680
Module,:core:database,all tasks,Duration,25727,18049
Module,:core:database,all tasks,Counter,33,33
Module,:core:database,all tasks,Fingerprinting,1253,1349
Module,:core:database,all tasks,DurationMean,779,546
Module,:core:database,all tasks,DurationMedian,10.0,9.0
Module,:core:database,all tasks,DurationP90,529.0,573.0
Module,:core:database,all tasks,FingerprintingMean,37,40
Module,:core:database,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:database,all tasks,FingerprintingP90,47.0,53.0
Module,:core:datastore,all tasks,CacheSize,256366,256257
Module,:core:datastore,all tasks,Duration,19977,13695
Module,:core:datastore,all tasks,Counter,32,32
Module,:core:datastore,all tasks,Fingerprinting,678,385
Module,:core:datastore,all tasks,DurationMean,624,427
Module,:core:datastore,all tasks,DurationMedian,12.0,9.0
Module,:core:datastore,all tasks,DurationP90,2629.0,2020.0
Module,:core:datastore,all tasks,FingerprintingMean,21,12
Module,:core:datastore,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:datastore,all tasks,FingerprintingP90,68.0,31.0
Module,:core:datastore-proto,all tasks,CacheSize,94672,94667
Module,:core:datastore-proto,all tasks,Duration,9478,5537
Module,:core:datastore-proto,all tasks,Counter,39,39
Module,:core:datastore-proto,all tasks,Fingerprinting,210,158
Module,:core:datastore-proto,all tasks,DurationMean,243,141
Module,:core:datastore-proto,all tasks,DurationMedian,7.0,4.0
Module,:core:datastore-proto,all tasks,DurationP90,798.0,109.0
Module,:core:datastore-proto,all tasks,FingerprintingMean,5,4
Module,:core:datastore-proto,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:datastore-proto,all tasks,FingerprintingP90,9.0,6.0
Module,:core:designsystem,all tasks,CacheSize,1775696,1775792
Module,:core:designsystem,all tasks,Duration,103979,84897
Module,:core:designsystem,all tasks,Counter,37,37
Module,:core:designsystem,all tasks,Fingerprinting,4523,2414
Module,:core:designsystem,all tasks,DurationMean,2810,2294
Module,:core:designsystem,all tasks,DurationMedian,16.0,13.0
Module,:core:designsystem,all tasks,DurationP90,4640.0,3528.0
Module,:core:designsystem,all tasks,FingerprintingMean,122,65
Module,:core:designsystem,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:designsystem,all tasks,FingerprintingP90,25.0,17.0
Module,:core:network,all tasks,CacheSize,402788,402686
Module,:core:network,all tasks,Duration,21400,16742
Module,:core:network,all tasks,Counter,43,43
Module,:core:network,all tasks,Fingerprinting,889,727
Module,:core:network,all tasks,DurationMean,497,389
Module,:core:network,all tasks,DurationMedian,16.0,15.0
Module,:core:network,all tasks,DurationP90,1652.0,1080.0
Module,:core:network,all tasks,FingerprintingMean,20,16
Module,:core:network,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:network,all tasks,FingerprintingP90,38.0,47.0
Module,:core:domain,all tasks,CacheSize,129586,129474
Module,:core:domain,all tasks,Duration,11443,5567
Module,:core:domain,all tasks,Counter,26,26
Module,:core:domain,all tasks,Fingerprinting,2762,69
Module,:core:domain,all tasks,DurationMean,440,214
Module,:core:domain,all tasks,DurationMedian,11.0,8.0
Module,:core:domain,all tasks,DurationP90,1064.0,804.0
Module,:core:domain,all tasks,FingerprintingMean,106,2
Module,:core:domain,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:domain,all tasks,FingerprintingP90,13.0,9.0
Module,:core:notifications,all tasks,CacheSize,90507,90512
Module,:core:notifications,all tasks,Duration,6497,6416
Module,:core:notifications,all tasks,Counter,32,32
Module,:core:notifications,all tasks,Fingerprinting,129,83
Module,:core:notifications,all tasks,DurationMean,203,200
Module,:core:notifications,all tasks,DurationMedian,12.0,9.0
Module,:core:notifications,all tasks,DurationP90,358.0,945.0
Module,:core:notifications,all tasks,FingerprintingMean,4,2
Module,:core:notifications,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:notifications,all tasks,FingerprintingP90,16.0,9.0
Module,:core:ui,all tasks,CacheSize,1117312,1117303
Module,:core:ui,all tasks,Duration,8055,4972
Module,:core:ui,all tasks,Counter,36,36
Module,:core:ui,all tasks,Fingerprinting,122,95
Module,:core:ui,all tasks,DurationMean,223,138
Module,:core:ui,all tasks,DurationMedian,10.0,9.0
Module,:core:ui,all tasks,DurationP90,356.0,149.0
Module,:core:ui,all tasks,FingerprintingMean,3,2
Module,:core:ui,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:ui,all tasks,FingerprintingP90,10.0,7.0
Module,:feature:foryou,all tasks,CacheSize,1376838,1376732
Module,:feature:foryou,all tasks,Duration,70812,64816
Module,:feature:foryou,all tasks,Counter,43,43
Module,:feature:foryou,all tasks,Fingerprinting,1522,1698
Module,:feature:foryou,all tasks,DurationMean,1646,1507
Module,:feature:foryou,all tasks,DurationMedian,16.0,14.0
Module,:feature:foryou,all tasks,DurationP90,3251.0,2600.0
Module,:feature:foryou,all tasks,FingerprintingMean,35,39
Module,:feature:foryou,all tasks,FingerprintingMedian,2.0,1.0
Module,:feature:foryou,all tasks,FingerprintingP90,39.0,45.0
Module,:feature:bookmarks,all tasks,CacheSize,1347424,1347313
Module,:feature:bookmarks,all tasks,Duration,28582,22567
Module,:feature:bookmarks,all tasks,Counter,42,42
Module,:feature:bookmarks,all tasks,Fingerprinting,2863,3169
Module,:feature:bookmarks,all tasks,DurationMean,680,537
Module,:feature:bookmarks,all tasks,DurationMedian,19.0,14.0
Module,:feature:bookmarks,all tasks,DurationP90,2779.0,2225.0
Module,:feature:bookmarks,all tasks,FingerprintingMean,68,75
Module,:feature:bookmarks,all tasks,FingerprintingMedian,1.0,1.0
Module,:feature:bookmarks,all tasks,FingerprintingP90,92.0,45.0
Module,:feature:interests,all tasks,CacheSize,1254978,1255074
Module,:feature:interests,all tasks,Duration,28566,23529
Module,:feature:interests,all tasks,Counter,42,42
Module,:feature:interests,all tasks,Fingerprinting,3314,3727
Module,:feature:interests,all tasks,DurationMean,680,560
Module,:feature:interests,all tasks,DurationMedian,16.0,14.0
Module,:feature:interests,all tasks,DurationP90,2380.0,2236.0
Module,:feature:interests,all tasks,FingerprintingMean,78,88
Module,:feature:interests,all tasks,FingerprintingMedian,1.0,2.0
Module,:feature:interests,all tasks,FingerprintingP90,36.0,27.0
Module,:feature:search,all tasks,CacheSize,1367069,1366871
Module,:feature:search,all tasks,Duration,27724,14738
Module,:feature:search,all tasks,Counter,42,42
Module,:feature:search,all tasks,Fingerprinting,1466,259
Module,:feature:search,all tasks,DurationMean,660,350
Module,:feature:search,all tasks,DurationMedian,17.0,14.0
Module,:feature:search,all tasks,DurationP90,2912.0,1088.0
Module,:feature:search,all tasks,FingerprintingMean,34,6
Module,:feature:search,all tasks,FingerprintingMedian,1.0,1.0
Module,:feature:search,all tasks,FingerprintingP90,34.0,24.0
Module,:feature:settings,all tasks,CacheSize,2015874,2015874
Module,:feature:settings,all tasks,Duration,20364,14542
Module,:feature:settings,all tasks,Counter,42,42
Module,:feature:settings,all tasks,Fingerprinting,509,458
Module,:feature:settings,all tasks,DurationMean,484,346
Module,:feature:settings,all tasks,DurationMedian,15.0,15.0
Module,:feature:settings,all tasks,DurationP90,2182.0,1421.0
Module,:feature:settings,all tasks,FingerprintingMean,12,10
Module,:feature:settings,all tasks,FingerprintingMedian,1.0,1.0
Module,:feature:settings,all tasks,FingerprintingP90,44.0,37.0
Module,:feature:topic,all tasks,CacheSize,1336423,1336319
Module,:feature:topic,all tasks,Duration,18873,14102
Module,:feature:topic,all tasks,Counter,42,42
Module,:feature:topic,all tasks,Fingerprinting,302,182
Module,:feature:topic,all tasks,DurationMean,449,335
Module,:feature:topic,all tasks,DurationMedian,17.0,13.0
Module,:feature:topic,all tasks,DurationP90,1768.0,1628.0
Module,:feature:topic,all tasks,FingerprintingMean,7,4
Module,:feature:topic,all tasks,FingerprintingMedian,1.0,1.0
Module,:feature:topic,all tasks,FingerprintingP90,27.0,16.0
Module,:sync:work,all tasks,CacheSize,190145,190141
Module,:sync:work,all tasks,Duration,10968,7768
Module,:sync:work,all tasks,Counter,32,32
Module,:sync:work,all tasks,Fingerprinting,948,435
Module,:sync:work,all tasks,DurationMean,342,242
Module,:sync:work,all tasks,DurationMedian,13.0,11.0
Module,:sync:work,all tasks,DurationP90,813.0,633.0
Module,:sync:work,all tasks,FingerprintingMean,29,13
Module,:sync:work,all tasks,FingerprintingMedian,1.0,1.0
Module,:sync:work,all tasks,FingerprintingP90,128.0,80.0
Module,:core:data-test,all tasks,CacheSize,141957,142054
Module,:core:data-test,all tasks,Duration,6486,5095
Module,:core:data-test,all tasks,Counter,26,26
Module,:core:data-test,all tasks,Fingerprinting,426,174
Module,:core:data-test,all tasks,DurationMean,249,195
Module,:core:data-test,all tasks,DurationMedian,7.0,9.0
Module,:core:data-test,all tasks,DurationP90,960.0,684.0
Module,:core:data-test,all tasks,FingerprintingMean,16,6
Module,:core:data-test,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:data-test,all tasks,FingerprintingP90,62.0,33.0
Module,:core:testing,all tasks,CacheSize,1114166,1114263
Module,:core:testing,all tasks,Duration,13911,11020
Module,:core:testing,all tasks,Counter,42,42
Module,:core:testing,all tasks,Fingerprinting,1430,579
Module,:core:testing,all tasks,DurationMean,331,262
Module,:core:testing,all tasks,DurationMedian,12.0,8.0
Module,:core:testing,all tasks,DurationP90,1098.0,544.0
Module,:core:testing,all tasks,FingerprintingMean,34,13
Module,:core:testing,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:testing,all tasks,FingerprintingP90,29.0,18.0
Module,:sync:sync-test,all tasks,CacheSize,86440,86442
Module,:sync:sync-test,all tasks,Duration,3657,2983
Module,:sync:sync-test,all tasks,Counter,26,26
Module,:sync:sync-test,all tasks,Fingerprinting,105,71
Module,:sync:sync-test,all tasks,DurationMean,140,114
Module,:sync:sync-test,all tasks,DurationMedian,6.0,10.0
Module,:sync:sync-test,all tasks,DurationP90,389.0,337.0
Module,:sync:sync-test,all tasks,FingerprintingMean,4,2
Module,:sync:sync-test,all tasks,FingerprintingMedian,1.0,1.0
Module,:sync:sync-test,all tasks,FingerprintingP90,14.0,11.0
Module,:core:datastore-test,all tasks,CacheSize,75228,75221
Module,:core:datastore-test,all tasks,Duration,5113,2740
Module,:core:datastore-test,all tasks,Counter,32,32
Module,:core:datastore-test,all tasks,Fingerprinting,87,59
Module,:core:datastore-test,all tasks,DurationMean,159,85
Module,:core:datastore-test,all tasks,DurationMedian,9.0,6.0
Module,:core:datastore-test,all tasks,DurationP90,672.0,251.0
Module,:core:datastore-test,all tasks,FingerprintingMean,2,1
Module,:core:datastore-test,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:datastore-test,all tasks,FingerprintingP90,6.0,7.0
Module,:core:screenshot-testing,all tasks,CacheSize,989645,989641
Module,:core:screenshot-testing,all tasks,Duration,23221,15901
Module,:core:screenshot-testing,all tasks,Counter,42,42
Module,:core:screenshot-testing,all tasks,Fingerprinting,3957,3430
Module,:core:screenshot-testing,all tasks,DurationMean,552,378
Module,:core:screenshot-testing,all tasks,DurationMedian,9.0,8.0
Module,:core:screenshot-testing,all tasks,DurationP90,1456.0,1375.0
Module,:core:screenshot-testing,all tasks,FingerprintingMean,94,81
Module,:core:screenshot-testing,all tasks,FingerprintingMedian,1.0,1.0
Module,:core:screenshot-testing,all tasks,FingerprintingP90,19.0,17.0
Module,:build-logic:convention,executed_not_cacheable,Duration,151,175
Module,:build-logic:convention,executed_not_cacheable,Counter,4,4
Module,:build-logic:convention,executed_not_cacheable,Fingerprinting,20,21
Module,:build-logic:convention,executed_not_cacheable,DurationMean,37,43
Module,:build-logic:convention,executed_not_cacheable,DurationMedian,33.0,35.0
Module,:build-logic:convention,executed_not_cacheable,DurationP90,63.0,85.0
Module,:build-logic:convention,executed_not_cacheable,FingerprintingMean,5,5
Module,:build-logic:convention,executed_not_cacheable,FingerprintingMedian,6.0,6.0
Module,:build-logic:convention,executed_not_cacheable,FingerprintingP90,6.0,7.0
Module,:build-logic:convention,executed_cacheable,Duration,18117,17295
Module,:build-logic:convention,executed_cacheable,Counter,1,1
Module,:build-logic:convention,executed_cacheable,Fingerprinting,1584,1516
Module,:build-logic:convention,executed_cacheable,DurationMean,18117,17295
Module,:build-logic:convention,executed_cacheable,DurationMedian,18117.0,17295.0
Module,:build-logic:convention,executed_cacheable,DurationP90,18117.0,17295.0
Module,:build-logic:convention,executed_cacheable,FingerprintingMean,1584,1516
Module,:build-logic:convention,executed_cacheable,FingerprintingMedian,1584.0,1516.0
Module,:build-logic:convention,executed_cacheable,FingerprintingP90,1584.0,1516.0
Module,:build-logic:convention,no-source,Duration,3,3
Module,:build-logic:convention,no-source,Counter,1,1
Module,:build-logic:convention,no-source,Fingerprinting,1,1
Module,:build-logic:convention,no-source,DurationMean,3,3
