rule entity,rule type, name, category, diff,first build,second build,first build raw,second build raw, description
Task,Duration,:core:model:compileKotlin,,42.78%,21.067s,13.643s,21067,13643,Threshold: 5000 Value > 10%
Task,Duration,:app:checkProdDebugAarMetadata,,14.42%,6.156s,5.328s,6156,5328,Threshold: 5000 Value > 10%
Task,Duration,:ui-test-hilt-manifest:kspProdDebugKotlin,,39.86%,12.91s,8.619s,12910,8619,Threshold: 5000 Value > 10%
Task,Duration,:core:analytics:kspProdDebugKotlin,,56.12%,10.225s,5.744s,10225,5744,Threshold: 5000 Value > 10%
Task,Duration,:core:database:kspProdDebugKotlin,,28.79%,10.685s,7.996s,10685,7996,Threshold: 5000 Value > 10%
Task,Duration,:core:database:compileProdDebugKotlin,,44.27%,12.938s,8.248s,12938,8248,Threshold: 5000 Value > 10%
Task,Duration,:core:designsystem:compileProdDebugKotlin,,34.4%,24.947s,17.624s,24947,17624,Threshold: 5000 Value > 10%
Task,Duration,:core:common:testProdDebugUnitTest,,36.92%,8.532s,5.873s,8532,5873,Threshold: 5000 Value > 10%
Task,Duration,:feature:interests:compileProdDebugJavaWithJavac,,25.33%,8.179s,6.34s,8179,6340,Threshold: 5000 Value > 10%
Task,Duration,:feature:bookmarks:compileProdDebugJavaWithJavac,,18.1%,7.458s,6.22s,7458,6220,Threshold: 5000 Value > 10%
Task,Duration,:core:datastore:testProdDebugUnitTest,,38.32%,8.703s,5.904s,8703,5904,Threshold: 5000 Value > 10%
Task,Duration,:app:kspProdDebugKotlin,,18.5%,8.982s,7.461s,8982,7461,Threshold: 5000 Value > 10%
Task,Duration,:core:screenshot-testing:kspProdDebugKotlin,,33.39%,7.073s,5.049s,7073,5049,Threshold: 5000 Value > 10%
Task,Duration,:core:data:testProdDebugUnitTest,,41.55%,12.804s,8.399s,12804,8399,Threshold: 5000 Value > 10%
Task,Duration,:core:designsystem:testProdDebugUnitTest,,14.56%,1m 5.489s,56.603s,65489,56603,Threshold: 5000 Value > 10%
Task,Duration,:app:hiltJavaCompileProdDebug,,48.93%,9.196s,5.581s,9196,5581,Threshold: 5000 Value > 10%
Task,Duration,:core:screenshot-testing:hiltAggregateDepsProdDebugUnitTest,,54.24%,9.756s,5.593s,9756,5593,Threshold: 5000 Value > 10%
TaskType,Duration,KotlinCompile,all outcomes,29.47%,2m 54.217s,2m 9.474s,174217,129474,Threshold: 5000 Value > 10%
TaskType,Duration,KotlinCompile,executed_cacheable,29.45%,2m 54.141s,2m 9.435s,174141,129435,Threshold: 5000 Value > 10%
TaskType,Duration,JavaCompile,all outcomes,38.86%,1m 12.941s,49.209s,72941,49209,Threshold: 5000 Value > 10%
TaskType,Duration,JavaCompile,executed_cacheable,38.91%,1m 12.782s,49.076s,72782,49076,Threshold: 5000 Value > 10%
TaskType,Duration,CheckAarMetadataTask,all outcomes,15.36%,6.764s,5.799s,6764,5799,Threshold: 5000 Value > 10%
TaskType,Duration,CheckAarMetadataTask,executed_not_cacheable,15.36%,6.764s,5.799s,6764,5799,Threshold: 5000 Value > 10%
TaskType,Duration,MergeResources,all outcomes,42.26%,34.975s,22.774s,34975,22774,Threshold: 5000 Value > 10%
TaskType,Duration,MergeResources,executed_cacheable,42.26%,34.975s,22.774s,34975,22774,Threshold: 5000 Value > 10%
TaskType,Duration,KspTaskJvm,all outcomes,28.87%,2m 1.936s,1m 31.17s,121936,91170,Threshold: 5000 Value > 10%
